🇨🇳央视直播,#genre#
CCTV-1,https://migu.188766.xyz/?migutoken=7b3c876593549cec112cc139b8bda2ce&id=CCTV1&type=yy
CCTV-2,https://migu.188766.xyz/?migutoken=c955d3529c7000a5a8a34b59fa91a2cb&id=CCTV2&type=yy
CCTV-3,https://migu.188766.xyz/?migutoken=506a9e4f72ae3c3945e0b1dc4e7b4b90&id=CCTV3&type=yy
CCTV-4,https://migu.188766.xyz/?migutoken=d70ab962527e2a698e2e6caf815195f2&id=CCTV4&type=yy
CCTV-5,https://migu.188766.xyz/?migutoken=d30dca679c58b42c26f0d09e412d46e4&id=CCTV5&type=yy
CCTV-5+,https://migu.188766.xyz/?migutoken=13067a89c1d1a33a8efc3bb9c580b100&id=CCTV5p&type=yy
CCTV-6,https://migu.188766.xyz/?migutoken=482530f13b87414299dc798adb079a19&id=CCTV6&type=yy
CCTV-7,https://migu.188766.xyz/?migutoken=a95132fa71ffb6ca8e262c179329cda1&id=CCTV7&type=yy
CCTV-8,https://migu.188766.xyz/?migutoken=894ff70b60037180cb132a9a9cfa880e&id=CCTV8&type=yy
CCTV-9,https://migu.188766.xyz/?migutoken=0895ba6c07a99ed4ca893a607b240b0b&id=CCTV9&type=yy
CCTV-10,https://migu.188766.xyz/?migutoken=0842390260ff6f9529418d8f4b09e8a1&id=CCTV10&type=yy
CCTV-11,https://migu.188766.xyz/?migutoken=e0b92264c9d971d97e82a92b1b8e4564&id=CCTV11&type=yy
CCTV-12,https://migu.188766.xyz/?migutoken=31b890af29117452189d598326b7c0f1&id=CCTV12&type=yy
CCTV-13,https://migu.188766.xyz/?migutoken=9857c52b639d1dc9085323e1f6f66c9b&id=CCTV13&type=yy
CCTV-14,https://migu.188766.xyz/?migutoken=ccd12e62cffdf275c90584abc4556796&id=CCTV14&type=yy
CCTV-15,https://migu.188766.xyz/?migutoken=71e1668142af5103d10fca032c9f5f2d&id=CCTV15&type=yy
CCTV-17,https://migu.188766.xyz/?migutoken=93f3c36f347430d9273c7d0cc965f1c2&id=CCTV17&type=yy

📡卫视直播,#genre#
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
广东珠江,http://120.234.187.66:10086/udp/239.10.0.62:1025$广东移动
广东新闻,http://120.234.187.66:10086/udp/239.10.0.199:1025$广东移动
广东民生,http://120.234.187.66:10086/udp/239.11.0.80:1025$广东移动
广东体育,http://120.234.187.66:10086/udp/239.10.0.113:1025$广东移动
广东经济科教,http://120.234.187.66:10086/udp/239.10.0.112:1025$广东移动
广东影视,http://120.234.187.66:10086/udp/239.11.0.79:1025$广东移动
广东少儿,http://120.234.187.66:10086/udp/239.11.0.81:1025$广东移动
广东嘉佳卡通,http://120.234.187.66:10086/udp/239.10.0.200:1025$广东移动
广东4K超高清,http://120.234.187.66:10086/udp/239.10.0.75:1025$广东移动
广州新闻,http://120.234.187.66:10086/udp/239.11.0.139:1025$广东移动
广州影视,http://120.234.187.66:10086/udp/239.11.0.140:1025$广东移动
广州法治,http://120.234.187.66:10086/udp/239.11.0.141:1025$广东移动
广州综合,http://120.234.187.66:10086/udp/239.11.0.138:1025$广东移动

🔮港澳台直播,#genre#
VIUTV,https://yang-1989.eu.org/live/ViuTV$搜索资源
VIUTV,https://cdn.163189.xyz/163189/viu$搜索资源
VIUTV,http://fm1077.serv00.net/Smart.php?id=viu1_twn$搜索资源
VIUTV,https://stream1.freetv.fun/566447a554a11bb540e5e37ea32162caa2959fefd3707625f70de6ac96255364.ctv
VIUTV,https://stream1.freetv.fun/855fcf2cb6242c3bbf91d073a966eefcecb239f58f03460b4947d32ee7785d2c.m3u8
翡翠台,https://migu.188766.xyz/?migutoken=5e1d93f6ea742c67ac381df1b2a3dc50&id=hk_fct&type=dy$广东台转播
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3$1080
翡翠台,https://cdn6.101.qzz.io/163189/fct$搜索资源
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3$搜索资源
翡翠台,https://stream1.freetv.fun/2d6d5de01dfd6fdcaaf4fe4b5ab0188eb1849a91fee22cc73276e6737ce055a8.ctv$BD
翡翠台,https://stream1.freetv.fun/7626cd1e0830deb6cc37d51b751648e27e25c8136a22f61f6bb6ce5a85dcb0c4.ctv$BD
翡翠台,https://stream1.freetv.fun/169afe453d043b4888d3e0684163a3c8e7c13738df07bcfa187dcd05223e3891.ctv$BD
翡翠台,https://stream1.freetv.fun/d9a2e34945118d998ae46a4440adbd8b97ad86e379c36161dbea8d01c7ea74a6.ctv$BD
翡翠台,https://stream1.freetv.fun/ab22ef5c7f5290653d178b4eefe1c6c1ff4cf374752e59ab2708ec675951bcfa.ctv$BD
翡翠台,https://stream1.freetv.fun/fb264f1bfef92e4d5fd8cf107039be128d5e8cfa55c2730efd8d3fb231346d22.ctv$BD
翡翠台,https://stream1.freetv.fun/bd5fd58b590cbb1ae54807d43ded272a7db28b22446a0239754cf241dd1c27f3.ctv$BD
翡翠台,rtmp://nowast.net/live/yifatv-jade01$BD
翡翠台4K,https://migu.188766.xyz/?migutoken=941a09e16b5996a5729011d7037aa817&id=hk_fct4k&type=dy
TVB Plus,https://cdn6.101.qzz.io/163189/tvbp$cdn6101

广东移动,#genre#
CCTV-1,http://120.234.187.66:10086/udp/239.10.0.48:1025$广东移动
CCTV-2,http://120.234.187.66:10086/udp/239.10.0.207:1025$广东移动
CCTV-3,http://120.234.187.66:10086/udp/239.10.0.101:1025$广东移动
CCTV-4,http://120.234.187.66:10086/udp/239.10.0.245:1025$广东移动
CCTV-5,http://120.234.187.66:10086/udp/239.10.0.102:1025$广东移动
CCTV-6,http://120.234.187.66:10086/udp/239.10.0.103:1025$广东移动
CCTV-7,http://120.234.187.66:10086/udp/239.10.0.208:1025$广东移动
CCTV-8,http://120.234.187.66:10086/udp/239.10.0.104:1025$广东移动
CCTV-9,http://120.234.187.66:10086/udp/239.10.0.209:1025$广东移动
CCTV-10,http://120.234.187.66:10086/udp/239.10.0.210:1025$广东移动
CCTV-11,http://120.234.187.66:10086/udp/239.11.0.24:1025$广东移动
CCTV-12,http://120.234.187.66:10086/udp/239.10.0.211:1025$广东移动
CCTV-13,http://120.234.187.66:10086/udp/239.10.0.198:1025$广东移动
CCTV-14,http://120.234.187.66:10086/udp/239.10.0.212:1025$广东移动
CCTV-15,http://120.234.187.66:10086/udp/239.11.0.25:1025$广东移动
CCTV-16,http://120.234.187.66:10086/udp/239.11.0.132:1025$广东移动
CCTV-17,http://120.234.187.66:10086/udp/239.10.0.244:1025$广东移动
CCTV-5+,http://120.234.187.66:10086/udp/239.10.0.213:1025$广东移动
CCTV-4k,http://120.234.187.66:10086/udp/239.10.0.68:1025$广东移动
广东卫视,http://120.234.187.66:10086/udp/239.10.0.111:1025$广东移动
大湾区卫视,http://120.234.187.66:10086/udp/239.11.0.78:1025$广东移动
湖南卫视,http://120.234.187.66:10086/udp/239.10.0.115:1025$广东移动
浙江卫视,http://120.234.187.66:10086/udp/239.10.0.179:1025$广东移动
江苏卫视,http://120.234.187.66:10086/udp/239.10.0.180:1025$广东移动
东方卫视,http://120.234.187.66:10086/udp/239.10.0.183:1025$广东移动
安徽卫视,http://120.234.187.66:10086/udp/239.10.0.203:1025$广东移动
北京卫视,http://120.234.187.66:10086/udp/239.10.0.131:1025$广东移动
江西卫视,http://120.234.187.66:10086/udp/239.10.0.80:1025$广东移动
深圳卫视,http://120.234.187.66:10086/udp/239.10.0.132:1025$广东移动
河南卫视,http://120.234.187.66:10086/udp/239.11.0.94:1025$广东移动
云南卫视,http://120.234.187.66:10086/udp/239.11.0.171:1025$广东移动
陕西卫视,http://120.234.187.66:10086/udp/239.10.0.161:1025$广东移动
山西卫视,http://120.234.187.66:10086/udp/239.10.0.162:1025$广东移动
内蒙古卫视,http://120.234.187.66:10086/udp/239.10.0.163:1025$广东移动
青海卫视,http://120.234.187.66:10086/udp/239.10.0.164:1025$广东移动
海南卫视,http://120.234.187.66:10086/udp/239.11.0.172:1025$广东移动
宁夏卫视,http://120.234.187.66:10086/udp/239.10.0.166:1025$广东移动
西藏卫视,http://120.234.187.66:10086/udp/239.10.0.167:1025$广东移动
新疆卫视,http://120.234.187.66:10086/udp/239.10.0.168:1025$广东移动
甘肃卫视,http://120.234.187.66:10086/udp/239.11.0.175:1025$广东移动
兵团卫视,http://120.234.187.66:10086/udp/239.10.0.170:1025$广东移动
厦门卫视,http://120.234.187.66:10086/udp/239.10.0.178:1025$广东移动
三沙卫视,http://120.234.187.66:10086/udp/239.10.0.83:1025$广东移动
延边卫视,http://120.234.187.66:10086/udp/239.10.0.140:1025$广东移动
黑龙江卫视,http://120.234.187.66:10086/udp/239.10.0.133:1025$广东移动
湖北卫视,http://120.234.187.66:10086/udp/239.10.0.134:1025$广东移动
天津卫视,http://120.234.187.66:10086/udp/239.10.0.181:1025$广东移动
山东卫视,http://120.234.187.66:10086/udp/239.10.0.182:1025$广东移动
辽宁卫视,http://120.234.187.66:10086/udp/239.10.0.185:1025$广东移动
四川卫视,http://120.234.187.66:10086/udp/239.10.0.204:1025$广东移动
重庆卫视,http://120.234.187.66:10086/udp/239.10.0.205:1025$广东移动
贵州卫视,http://120.234.187.66:10086/udp/239.10.0.222:1025$广东移动
东南卫视,http://120.234.187.66:10086/udp/239.10.0.77:1025$广东移动
河北卫视,http://120.234.187.66:10086/udp/239.10.0.79:1025$广东移动
吉林卫视,http://120.234.187.66:10086/udp/239.10.0.81:1025$广东移动
广西卫视,http://120.234.187.66:10086/udp/239.10.0.246:1025$广东移动

全球,#genre#
🇰🇷韩国KBS Drama,http://8.138.7.223/tv/korea.php?id=32
🇰🇷韩国AriangTV,http://amdlive-ch01.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
🇰🇷韩国GS Shop,https://gstv-gsshop.gsshop.com/gsshop_hd/gsshop_hd.stream/playlist.m3u8
🇯🇵日本日テレNEWS24,http://iptv.zkbhj.com/tv/url/go?id=729942d34e8518d7d5d61c380136549bf2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
